"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO";"ARQUIVO_FOTO";"B_RUR";"B_EV"
"--";"Acir Gurgacz";"PDT";"RO";4981;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4981.jpg";;"--";"--"
"--";"Ada Mello";"PTB";"AL";4815;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4815.jpg";;"--";"--"
"--";"Aécio Neves";"PSDB";"MG";391;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv391.jpg";;"--";"--"
"--";"Alfredo Nascimento";"PR";"AM";4527;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4527.jpg";;"--";"--"
"--";"Aloysio Nunes Ferreira";"PSDB";"SP";846;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv846.jpg";;"--";"--"
"--";"Alvaro Dias";"PSDB";"PR";945;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv945.jpg";;"--";"--"
"--";"Ana Amélia";"PP";"RS";4988;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4988.jpg";;"--";"--"
"--";"Ana Rita";"PT";"ES";4869;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4869.jpg";;"--";"--"
"--";"Angela Portela";"PT";"RR";4697;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4697.jpg";;"--";"--"
"--";"Anibal Diniz";"PT";"AC";4837;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4837.jpg";;"--";"--"
"--";"Antonio Carlos Valadares";"PSB";"SE";3;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3.jpg";;"--";"--"
"--";"Antonio Russo";"PR";"MS";4891;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4891.jpg";;"--";"--"
"--";"Armando Monteiro";"PTB";"PE";715;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv715.jpg";;"--";"--"
"--";"Ataídes Oliveira";"PSDB";"TO";5164;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv";;"--";"--"
"--";"Benedito de Lira";"PP";"AL";3823;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3823.jpg";;"--";"--"
"--";"Blairo Maggi";"PR";"MT";111;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv111.jpg";;"--";"--"
"--";"Carlos Dunga";"PTB";"PB";704;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv704.jpg";;"--";"--"
"--";"Casildo Maldaner";"PMDB";"SC";13;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv13.jpg";;"--";"--"
"--";"Cássio Cunha Lima";"PSDB";"PB";5197;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5197.jpg";;"--";"--"
"--";"Cícero Lucena";"PSDB";"PB";4529;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4529.jpg";;"--";"--"
"--";"Ciro Nogueira";"PP";"PI";739;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv739.jpg";;"--";"--"
"--";"Clésio Andrade";"PMDB";"MG";4895;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4895.jpg";;"--";"--"
"--";"Clovis Fecury";"DEM";"MA";3881;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3881.jpg";;"--";"--"
"--";"Cristovam Buarque";"PDT";"DF";3398;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3398.jpg";;"--";"--"
"--";"Cyro Miranda";"PSDB";"GO";4877;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4877.jpg";;"--";"--"
"--";"Delcídio do Amaral";"PT";"MS";3360;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3360.jpg";;"--";"--"
"--";"Demóstenes Torres";"S.Part.";"GO";3399;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3399.jpg";;"--";"--"
"--";"Edison Lobão";"PMDB";"MA";16;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv16.jpg";;"--";"--"
"--";"Eduardo Amorim";"PSC";"SE";4721;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4721.jpg";;"--";"--"
"--";"Eduardo Braga";"PMDB";"AM";4994;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4994.jpg";;"--";"--"
"--";"Eduardo Lopes";"PRB";"RJ";4767;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4767.jpg";;"--";"--"
"--";"Eduardo Suplicy";"PT";"SP";17;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv17.jpg";;"--";"--"
"--";"Eliseu Resende";"DEM";"MG";394;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv394.jpg";;"--";"--"
