"ID_VOTACAO";"POLITICO";"PARTIDO";"VOTO"
"S11001";"Acir Gurgacz";"PDT";"SIM"
"S11001";"Aécio Neves";"PSDB";"NAO"
"S11001";"Aloysio Nunes Ferreira";"PSDB";"NAO"
"S11001";"Alvaro Dias";"PSDB";"NAO"
"S11001";"Ana Amélia";"PP";"NAO"
"S11001";"Ana Rita";"PT";"SIM"
"S11001";"Angela Portela";"PT";"SIM"
"S11001";"Anibal Diniz";"PT";"SIM"
"S11001";"Antonio Carlos Valadares";"PSB";"SIM"
"S11001";"Armando Monteiro";"PTB";"SIM"
"S11001";"Benedito de Lira";"PP";"SIM"
"S11001";"Blairo Maggi";"PR";"NAO VOTOU"
"S11001";"Casildo Maldaner";"PMDB";"SIM"
"S11001";"Cícero Lucena";"PSDB";"NAO"
"S11001";"Ciro Nogueira";"PP";"SIM"
"S11001";"Clésio Andrade";"PR";"NAO VOTOU"
"S11001";"Cristovam Buarque";"PDT";"SIM"
"S11001";"Cyro Miranda";"PSDB";"NAO"
"S11001";"Delcídio do Amaral";"PT";"SIM"
"S11001";"Demóstenes Torres";"DEM";"NAO VOTOU"
"S11001";"Eduardo Amorim";"PSC";"SIM"
"S11001";"Eduardo Braga";"PMDB";"SIM"
"S11001";"Eduardo Suplicy";"PT";"NAO VOTOU"
"S11001";"Epitácio Cafeteira";"PTB";"NAO VOTOU"
"S11001";"Eunício Oliveira";"PMDB";"SIM"
"S11001";"Fernando Collor";"PTB";"SIM"
"S11001";"Flexa Ribeiro";"PSDB";"NAO"
"S11001";"Francisco Dornelles";"PP";"SIM"
"S11001";"Garibaldi Alves";"PMDB";"SIM"
"S11001";"Gilvam Borges";"PMDB";"NAO VOTOU"
"S11001";"Gim Argello";"PTB";"NAO VOTOU"
"S11001";"Gleisi Hoffmann";"PT";"SIM"
"S11001";"Humberto Costa";"PT";"SIM"
"S11001";"Inácio Arruda";"PCdoB";"NAO VOTOU"
"S11001";"Itamar Franco";"PPS";"NAO"
"S11001";"Ivo Cassol";"PP";"SIM"
"S11001";"Jarbas Vasconcelos";"PMDB";"NAO"
"S11001";"Jayme Campos";"DEM";"NAO"
"S11001";"João Alberto Souza";"PMDB";"NAO VOTOU"
"S11001";"João Durval";"PDT";"SIM"
"S11001";"João Pedro";"PT";"SIM"
"S11001";"João Ribeiro";"PR";"NAO VOTOU"
"S11001";"João Vicente Claudino";"PTB";"NAO VOTOU"
"S11001";"Jorge Viana";"PT";"NAO VOTOU"
"S11001";"José Agripino";"DEM";"NAO"
"S11001";"José Pimentel";"PT";"SIM"
"S11001";"José Sarney";"PMDB";"PRESIDENTE"
"S11001";"Kátia Abreu";"DEM";"NAO"
"S11001";"Lídice da Mata";"PSB";"SIM"
"S11001";"Lindbergh Farias";"PT";"SIM"
"S11001";"Lobão Filho";"PMDB";"NAO VOTOU"
"S11001";"Lúcia Vânia";"PSDB";"NAO"
"S11001";"Luiz Henrique";"PMDB";"SIM"
"S11001";"Magno Malta";"PR";"SIM"
"S11001";"Marcelo Crivella";"PRB";"SIM"
"S11001";"Maria do Carmo Alves";"DEM";"SIM"
"S11001";"Marinor Brito";"PSOL";"SIM"
"S11001";"Mário Couto";"PSDB";"NAO"
"S11001";"Marisa Serrano";"PSDB";"NAO"
"S11001";"Marta Suplicy";"PT";"SIM"
"S11001";"Mozarildo Cavalcanti";"PTB";"SIM"
"S11001";"Paulo Bauer";"PSDB";"NAO VOTOU"
"S11001";"Paulo Davim";"PV";"SIM"
"S11001";"Paulo Paim";"PT";"SIM"
"S11001";"Pedro Simon";"PMDB";"SIM"
"S11001";"Pedro Taques";"PDT";"SIM"
"S11001";"Randolfe Rodrigues";"PSOL";"SIM"
"S11001";"Renan Calheiros";"PMDB";"SIM"
"S11001";"Ricardo Ferraço";"PMDB";"SIM"
"S11001";"Roberto Requião";"PMDB";"NAO VOTOU"
"S11001";"Rodrigo Rollemberg";"PSB";"SIM"
"S11001";"Romero Jucá";"PMDB";"SIM"
"S11001";"Sérgio Petecão";"PMN";"SIM"
"S11001";"Valdir Raupp";"PMDB";"SIM"
"S11001";"Vanessa Grazziotin";"PCdoB";"SIM"
"S11001";"Vicentinho Alves";"PR";"SIM"
"S11001";"Vital do Rêgo";"PMDB";"SIM"
"S11001";"Waldemir Moka";"PMDB";"SIM"
"S11001";"Walter Pinheiro";"PT";"SIM"
"S11001";"Wellington Dias";"PT";"SIM"
"S11001";"Wilson Santiago";"PMDB";"NAO VOTOU"
"S11002";"Acir Gurgacz";"PDT";"NAO"
"S11002";"Aécio Neves";"PSDB";"SIM"
