"POLITICO";"SOBRENOME";"NOME_MINUSCULA";"NOME_CASA_MINUSCULA";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"ABELARDO CAMARINHA";"CAMARINHA";"abelardo camarinha";"abelardo camarinha";"ABELARDO CAMARINHA";"PSB";"SP";1772;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=162877"
"ABELARDO LUPION";"LUPION";"abelardo lupion";"abelardo lupion";"ABELARDO LUPION";"DEM";"PR";879;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=98523"
"ACELINO POPÓ";"POPÓ";"acelino popó";"acelino popo";"ACELINO POPO";"PRB";"BA";2419;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=193046"
"ADEMIR CAMILO";"CAMILO";"ademir camilo";"ademir camilo";"ADEMIR CAMILO";"PSD";"MG";1744;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=139355"
"ADRIAN";;"adrian";"adrian";"ADRIAN";"PMDB";"RJ";2350;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189122"
"AELTON FREITAS";"FREITAS";"aelton freitas";"aelton freitas";"AELTON FREITAS";"PR";"MG";1773;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=162235"
"AFONSO FLORENCE";"FLORENCE";"afonso florence";"afonso florence";"AFONSO FLORENCE";"PT";"BA";2406;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189039"
"AFONSO HAMM";"HAMM";"afonso hamm";"afonso hamm";"AFONSO HAMM";"PP";"RS";1758;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=147760"
"AGUINALDO RIBEIRO";"RIBEIRO";"aguinaldo ribeiro";"aguinaldo ribeiro";"AGUINALDO RIBEIRO";"PP";"PB";2408;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189098"
"ALBERTO FILHO";"FILHO";"alberto filho";"alberto filho";"ALBERTO FILHO";"PMDB";"MA";2283;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189076"
"ALBERTO MOURÃO";"MOURÃO";"alberto mourão";"alberto mourao";"ALBERTO MOURAO";"PSDB";"SP";1390;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=100509"
"ALCEU MOREIRA";"MOREIRA";"alceu moreira";"alceu moreira";"ALCEU MOREIRA";"PMDB";"RS";2379;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189143"
"ALDO REBELO";"REBELO";"aldo rebelo";"aldo rebelo";"ALDO REBELO";"PCdoB";"SP";764;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=96819"
"ALESSANDRO MOLON";"MOLON";"alessandro molon";"alessandro molon";"ALESSANDRO MOLON";"PT";"RJ";2240;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189123"
