"ID_VOTACAO";"DATA";"HORA";"ORIENTACAO_GOVERNO";"TIPO";"NUMERO";"ANO";"EMENTA";"O_QUE_FOI_VOTADO";"LINGUAGEM_COMUM"
"4527";"110215";"21:09:00";"Sim";"REQ";349;2011;"Requerimento de urgência para apreciação do PL 382/2011, de autoria do Executivo Federal, que ""Dispõe sobre o valor do salário mínimo em 2011, a sua política de valorização de longo prazo, e disciplina a representação fiscal para fins penais nos casos em ";"Votação em Turno Único.";"Pedido de urgência para votar salário mínimo em R$545"
"4536";"110216";"23:27:00";"Não";"PL";382;2011;"Dispõe sobre o valor do salário mínimo em 2011, a sua política de valorização de longo prazo, e disciplina a representação fiscal para fins penais nos casos em que houve parcelamento do crédito tributário.Fixa o valor do salário mínimo em R$ 545,00 e fixa";"Votação da Emenda de Plenário nº 22, objeto do Destaque para votação em separado da bancada do DEM.";"Fixa salário mínimo em R$545"
"4535";"110216";"22:38:00";"Não";"PL";382;2011;"Dispõe sobre o valor do salário mínimo em 2011, a sua política de valorização de longo prazo, e disciplina a representação fiscal para fins penais nos casos em que houve parcelamento do crédito tributário.Fixa o valor do salário mínimo em R$ 545,00 e fixa";"Votação da Emenda de Plenário nº 1, objeto do Destaque para votação em separado da bancada do PSDB.";"Fixa salário mínimo em R$545"
"4537";"110217";"00:17:00";"Sim";"PL";382;2011;"Dispõe sobre o valor do salário mínimo em 2011, a sua política de valorização de longo prazo, e disciplina a representação fiscal para fins penais nos casos em que houve parcelamento do crédito tributário.Fixa o valor do salário mínimo em R$ 545,00 e fixa";"Votação da expressão ""por meio de decreto"", constante do art. 3.º e, por conseguinte, da expressão ""O decreto do"" e ""a que se refere o caput"", constante do parágrafo único do mesmo art. 3.º do Projeto de Lei n.º 382, de 2011, objeto do Destaque para votaç";"Fixa salário mínimo em R$545"
"4542";"110222";"19:20:00";"Não";"MPV";502;2010;"Dá nova redação às Leis nºs 9.615, de 24 de março de 1998, que institui normas gerais sobre desporto, e 10.891, de 9 de julho de 2004, que institui a Bolsa-Atleta, cria os Programas Atleta Pódio e Cidade Esportiva, e dá outras providências. A lei nº 10.89";"Votação do Requerimento do Dep. Antonio Carlos Magalhães Neto, Líder do DEM, que solicita o adiamento da discussão por uma sessão.";"Normas sobre esporte e Bolsa Atleta"
"4538";"110222";"17:36:00";"Não";"MPV";502;2010;"Dá nova redação às Leis nºs 9.615, de 24 de março de 1998, que institui normas gerais sobre desporto, e 10.891, de 9 de julho de 2004, que institui a Bolsa-Atleta, cria os Programas Atleta Pódio e Cidade Esportiva, e dá outras providências. A lei nº 10.89";"Votação do Requerimento do Dep. Luiz Fernando Machado, na qualidade de Líder do PSDB, que solicita a retirada de pauta desta Medida Provisória.";"Normas sobre esporte e Bolsa Atleta"
"4546";"110222";"20:45:00";"Não";"MPV";502;2010;"Dá nova redação às Leis nºs 9.615, de 24 de março de 1998, que institui normas gerais sobre desporto, e 10.891, de 9 de julho de 2004, que institui a Bolsa-Atleta, cria os Programas Atleta Pódio e Cidade Esportiva, e dá outras providências. A lei nº 10.89";"Votação do Requerimento do Dep. Duarte Nogueira, Líder do PSDB, que solicita a retirada de pauta desta Medida Provisória.";"Normas sobre esporte e Bolsa Atleta"
"4574";"110405";"19:11:00";"Não";"MPV";511;2010;"Dispõe sobre medidas para assegurar a sustentabilidade econômico-financeira do Banco Nacional de Desenvolvimento Econômico e Social - BNDES, sobre autorização para garantia do financiamento do Trem de Alta Velocidade - TAV, no trecho entre os Municípios d";"Votação do Requerimento do Dep. Onyx Lorenzoni, na qualidade de Líder do DEM, que solicita a concessão de prazo, até a sessão ordinária seguinte, para a apreciação desta Medida Provisória.";"Financiamento do Trem de Alta Velocidade (TAV) entre Rio de Janeiro e Campinas"
"4581";"110405";"22:14:00";"Sim";"MPV";511;2010;"Dispõe sobre medidas para assegurar a sustentabilidade econômico-financeira do Banco Nacional de Desenvolvimento Econômico e Social - BNDES, sobre autorização para garantia do financiamento do Trem de Alta Velocidade - TAV, no trecho entre os Municípios d";"Votação do Requerimento dos Srs. Líderes que solicita o encerramento da discussão e do encaminhanento da votação.";"Financiamento do Trem de Alta Velocidade (TAV) entre Rio de Janeiro e Campinas"
"4590";"110406";"20:57:00";"Não";"PDC";2600;2010;"Aprova o texto da Notas Reversais entre o Governo da República Federativa do Brasil e o Governo da República do Paraguai sobre as Bases Financeiras do Anexo C do Tratado de Itaipu, firmadas em 1º de setembro de 2009.";"Votação do Requerimento do Dep.Vanderlei Macris, na qualidade de Líder do PSDB, que solicita a retirada de pauta deste Projeto de Decreto Legislativo.";"Elevação do pagamento anual ao Paraguai por cessão de energia de Itaipu"
